,ClusterID
cell861,0
cell1504,0
cell1047,0
cell678,0
cell1127,0
cell76,0
cell1512,0
cell252,1
cell1329,0
cell1563,3
cell651,0
cell1292,0
cell1003,0
cell1071,0
cell955,0
cell1422,0
cell63,0
cell1193,0
cell779,0
cell81,0
cell181,0
cell348,1
cell393,1
cell1445,0
cell1821,2
cell1396,0
cell1635,3
cell1340,0
cell444,2
cell224,0
cell857,0
cell77,0
cell979,0
cell911,0
cell916,0
cell249,1
cell474,2
cell1533,0
cell1774,3
cell1730,3
cell65,0
cell1746,3
cell1061,0
cell1451,0
cell1784,3
cell1239,0
cell1815,2
cell679,0
cell952,0
cell477,2
cell4,0
cell915,0
cell2,0
cell1924,2
cell351,1
cell1519,0
cell1234,0
cell26,0
cell1479,0
cell1793,3
cell22,0
cell958,0
cell237,0
cell273,1
cell832,0
cell485,2
cell1299,0
cell1544,0
cell1225,0
cell1356,0
cell587,0
cell1616,3
cell519,2
cell391,1
cell766,0
cell1066,0
cell1345,0
cell1120,0
cell242,0
cell394,1
cell151,0
cell1808,2
cell1555,3
cell1805,2
cell790,0
cell673,0
cell1459,0
cell1780,3
cell1119,0
cell1166,0
cell1336,0
cell1836,2
cell592,0
cell1908,2
cell722,0
cell500,2
cell34,0
cell1818,2
cell646,0
cell743,0
cell481,2
cell1280,0
cell1004,0
cell931,0
cell1321,0
cell1733,3
cell509,2
cell1981,2
